iter	Passed	Remaining
468	705	799
469	706	796
470	707	794
471	708	792
472	709	790
473	711	789
474	712	787
475	713	785
476	714	783
477	715	781
478	716	779
479	717	777
480	718	775
481	719	773
482	720	771
483	721	769
484	722	767
485	724	765
486	725	764
487	726	762
488	727	760
489	728	758
490	729	756
491	731	754
492	732	753
493	733	751
494	734	749
495	735	747
496	736	745
497	737	743
498	738	741
499	739	739
500	741	738
501	742	736
502	743	734
503	744	732
504	745	730
505	746	728
506	747	726
507	748	725
508	749	723
509	750	721
510	751	719
511	752	717
512	753	715
513	755	713
514	756	712
515	757	710
516	758	708
517	759	706
518	760	704
519	761	702
520	762	701
521	763	699
522	764	697
523	765	695
524	766	693
525	767	692
526	769	690
527	770	688
528	771	686
529	772	684
530	773	682
531	774	681
532	775	679
533	776	677
534	777	675
535	778	674
536	779	672
537	780	670
538	782	668
539	782	666
540	784	665
541	785	663
542	786	661
543	787	660
544	788	658
545	789	656
546	790	654
547	791	653
548	792	651
549	794	649
550	795	647
551	796	646
552	797	644
553	798	642
554	800	641
555	801	639
556	802	638
557	803	636
558	804	634
559	805	633
560	806	631
561	807	629
562	808	627
563	809	626
564	810	624
565	811	622
566	813	620
567	814	619
568	816	618
569	817	616
570	818	614
571	819	612
572	820	611
573	821	609
574	822	607
575	823	605
576	824	604
577	825	602
578	826	600
579	827	599
580	828	597
581	830	596
582	831	594
583	832	592
584	833	591
585	834	589
586	835	587
587	836	585
588	837	584
589	838	582
590	838	580
591	839	578
592	841	577
593	842	575
594	843	574
595	844	572
596	845	571
597	847	569
598	848	567
599	849	566
600	850	564
601	851	562
602	852	561
603	853	559
604	854	557
605	855	556
606	856	554
607	857	552
608	858	551
609	860	549
610	861	548
611	862	546
612	863	544
613	864	543
614	865	541
615	866	540
616	867	538
617	868	536
618	869	535
619	870	533
620	871	532
621	872	530
622	874	528
623	875	527
624	876	525
625	877	524
626	878	522
627	879	520
628	880	519
629	881	517
630	882	515
631	883	514
632	884	512
633	885	510
634	886	509
635	887	507
636	888	506
637	889	504
638	891	503
639	892	501
640	893	500
641	894	498
642	895	497
643	896	495
644	897	494
645	898	492
646	899	490
647	900	489
648	901	487
649	902	486
650	904	484
651	905	483
652	906	481
653	907	480
654	908	478
655	909	477
656	911	475
657	912	474
658	913	472
659	914	470
660	915	469
661	916	467
662	917	466
663	918	464
664	919	463
665	920	461
666	921	460
667	923	458
668	924	457
669	925	455
670	926	454
671	927	452
672	928	451
673	929	449
674	930	448
675	931	446
676	932	445
677	934	443
678	935	442
679	936	440
680	937	439
681	938	437
682	939	436
683	940	434
684	941	433
685	942	431
686	943	430
687	944	428
688	945	426
689	946	425
690	948	424
691	949	422
692	950	421
693	951	419
694	953	418
695	954	416
696	955	415
697	956	413
698	957	412
699	958	410
700	959	409
701	960	407
702	961	406
703	962	404
704	964	403
705	964	401
706	965	400
707	966	398
708	967	397
709	968	395
710	970	394
711	971	392
712	972	391
713	973	389
714	974	388
715	975	386
716	976	385
717	977	384
718	978	382
719	979	381
720	980	379
721	982	378
722	983	376
723	984	375
724	985	373
725	986	372
726	987	370
727	988	369
728	989	367
729	990	366
730	991	365
731	993	363
732	994	362
733	995	360
734	996	359
735	997	357
736	998	356
737	999	354
738	1000	353
739	1001	351
740	1002	350
741	1003	348
742	1004	347
743	1005	345
744	1006	344
745	1007	343
746	1008	341
747	1009	340
748	1010	338
749	1011	337
750	1012	335
751	1013	334
752	1014	332
753	1015	331
754	1016	329
755	1017	328
756	1018	327
757	1019	325
758	1020	324
759	1022	322
760	1023	321
761	1024	319
762	1025	318
763	1026	317
764	1027	315
765	1028	314
766	1029	312
767	1030	311
768	1031	309
769	1032	308
770	1033	306
771	1034	305
772	1035	304
773	1037	302
774	1038	301
775	1039	299
776	1040	298
777	1041	297
778	1042	295
779	1043	294
780	1044	292
781	1045	291
782	1046	289
783	1047	288
784	1048	287
785	1049	285
786	1050	284
787	1051	282
788	1052	281
789	1054	280
790	1055	278
791	1056	277
792	1057	275
793	1058	274
794	1059	273
795	1060	271
796	1061	270
797	1062	268
798	1063	267
799	1064	266
800	1065	264
801	1066	263
802	1067	261
803	1068	260
804	1069	259
805	1070	257
806	1071	256
807	1072	254
808	1073	253
809	1074	252
810	1075	250
811	1076	249
812	1078	247
813	1079	246
814	1080	245
815	1081	243
816	1082	242
817	1083	241
818	1084	239
819	1085	238
820	1086	236
821	1087	235
822	1088	234
823	1089	232
824	1090	231
825	1091	229
826	1092	228
827	1093	227
828	1094	225
829	1095	224
830	1096	223
831	1097	221
832	1098	220
833	1099	218
834	1100	217
835	1101	216
836	1102	214
837	1104	213
838	1105	212
839	1106	210
840	1107	209
841	1108	207
842	1109	206
843	1110	205
844	1111	203
845	1112	202
846	1113	201
847	1114	199
848	1115	198
849	1116	197
850	1117	195
851	1118	194
852	1119	192
853	1120	191
854	1121	190
855	1122	188
856	1123	187
857	1124	186
858	1125	184
859	1126	183
860	1127	182
861	1128	180
862	1129	179
863	1131	178
864	1132	176
865	1133	175
866	1134	173
867	1135	172
868	1136	171
869	1137	169
870	1138	168
871	1139	167
872	1140	165
873	1141	164
874	1142	163
875	1143	161
876	1144	160
877	1145	159
878	1146	157
879	1147	156
880	1148	155
881	1149	153
882	1151	152
883	1152	151
884	1153	149
885	1154	148
886	1155	147
887	1156	145
888	1157	144
889	1158	143
890	1159	141
891	1160	140
892	1161	139
893	1162	137
894	1164	136
895	1168	135
896	1173	134
897	1177	133
898	1182	132
899	1186	131
900	1191	130
901	1195	129
902	1200	128
903	1204	127
904	1208	126
905	1212	125
906	1217	124
907	1221	123
908	1225	122
909	1229	121
910	1233	120
911	1237	119
912	1241	118
913	1243	117
914	1246	115
915	1249	114
916	1251	113
917	1253	111
918	1255	110
919	1257	109
920	1258	107
921	1260	106
922	1261	105
923	1263	103
924	1265	102
925	1266	101
926	1267	99
927	1269	98
928	1270	97
929	1271	95
930	1273	94
931	1274	92
932	1275	91
933	1276	90
934	1277	88
935	1278	87
936	1279	86
937	1280	84
938	1281	83
939	1282	81
940	1283	80
941	1284	79
942	1285	77
943	1286	76
944	1287	74
945	1288	73
946	1289	72
947	1290	70
948	1291	69
949	1292	68
950	1293	66
951	1295	65
952	1296	63
953	1297	62
954	1298	61
955	1299	59
956	1300	58
957	1301	57
958	1302	55
959	1303	54
960	1304	52
961	1305	51
962	1306	50
963	1308	48
964	1309	47
965	1310	46
966	1311	44
967	1312	43
968	1313	42
969	1314	40
970	1315	39
971	1316	37
972	1317	36
973	1318	35
974	1319	33
975	1320	32
976	1321	31
977	1322	29
978	1323	28
979	1324	27
980	1325	25
981	1327	24
982	1328	22
983	1329	21
984	1330	20
985	1331	18
986	1332	17
987	1333	16
988	1334	14
989	1335	13
990	1336	12
991	1337	10
992	1338	9
993	1339	8
994	1340	6
995	1342	5
996	1343	4
997	1344	2
998	1345	1
999	1346	0
